@relation final_property_listings_WEKA-weka.filters.unsupervised.attribute.Remove-R1

@attribute Location {klcc,'damansara heights',dutamas,'bukit jalil','taman tun dr ismail','sri petaling','bukit tunku (kenny hills)','mont kiara','desa parkcity','bangsar south','ampang hilir',kepong,'jalan klang lama (old klang road)','sungai besi','kl city','kl sentral','taman melawati',setapak,'city centre','country heights damansara','taman desa',sentul,bangsar,segambut,'wangsa maju','batu caves',ampang,'sri hartamas',cheras,setiawangsa,oug,'bukit bintang','jalan sultan ismail','jalan kuching','bandar menjalara',seputeh,'sunway spk','kl eco city',pantai,'kuchai lama','jalan ipoh',brickfields,'desa pandan','desa petaling','pandan perdana','bandar damai perdana',keramat,'salak selatan',titiwangsa}
@attribute Price numeric
@attribute 'Rooms Num' numeric
@attribute Bathrooms numeric
@attribute 'Main Property Type' {'Serviced Residence',Bungalow,Condominium,'Semi-detached House','Terrace/Link House',Apartment,Townhouse,Flat,'Residential Land','Cluster House'}
@attribute 'Size Type' {Built-up,'Land area'}
@attribute 'Size Num' numeric
@attribute Furnishing {'Fully Furnished','Partly Furnished',Unfurnished,Unknown}

@data
'mont kiara',699000,3,2,Condominium,Built-up,1238,'Partly Furnished'
'mont kiara',2677840,5,5,Condominium,Built-up,3043,Unknown
'mont kiara',2250000,5,4,'Serviced Residence',Built-up,2305,'Partly Furnished'
'sungai besi',660000,3,2,'Serviced Residence',Built-up,882,Unknown
'kuchai lama',329000,3,2,Condominium,Built-up,950,'Partly Furnished'
segambut,700000,4,3,Condominium,Built-up,1250,'Partly Furnished'
'bukit jalil',499999,4,2,Condominium,Built-up,1231,'Fully Furnished'
'sri petaling',400000,2,1,'Terrace/Link House','Land area',770,'Partly Furnished'
'wangsa maju',859096,2,2,Condominium,Built-up,1033,'Partly Furnished'
cheras,2000000,5,5,Bungalow,'Land area',6600,'Partly Furnished'
segambut,430000,3,2,'Terrace/Link House','Land area',630,'Partly Furnished'
sentul,420000,3,2,Condominium,Built-up,1125,'Partly Furnished'
cheras,315000,3,2,Condominium,Built-up,1020,'Partly Furnished'
seputeh,1600000,4,3,'Semi-detached House','Land area',3000,'Partly Furnished'
'jalan ipoh',610000,3,3,Townhouse,'Land area',1618,'Partly Furnished'
'taman desa',540000,2,2,Condominium,Built-up,960,'Partly Furnished'
'bukit jalil',540000,4,2,Condominium,Built-up,1440,'Partly Furnished'
'bukit jalil',985000,5,3,Condominium,Built-up,1513,'Partly Furnished'
cheras,1830000,5,5,'Semi-detached House','Land area',4000,'Partly Furnished'
sentul,950000,3,3,Condominium,Built-up,1237,'Partly Furnished'
'ampang hilir',2150000,5,4,Condominium,Built-up,1836,'Partly Furnished'
setapak,356000,4,2,Condominium,Built-up,1200,'Partly Furnished'
bangsar,850000,2,1,Condominium,Built-up,1000,'Partly Furnished'
cheras,380000,3,2,Condominium,Built-up,927,'Partly Furnished'
cheras,540000,4,2,Condominium,Built-up,1200,'Partly Furnished'
cheras,760000,4,2,'Terrace/Link House','Land area',1540,'Partly Furnished'
kepong,760000,4,3,'Terrace/Link House','Land area',1400,'Partly Furnished'
'jalan klang lama (old klang road)',620000,3,2,'Terrace/Link House','Land area',1540,'Fully Furnished'
'kl city',1178000,2,1,'Serviced Residence',Built-up,625,'Partly Furnished'
setapak,390000,3,2,'Serviced Residence','Land area',1009,Unfurnished
setapak,485000,4,2,Condominium,Built-up,1333,'Partly Furnished'
setapak,410000,4,2,Condominium,Built-up,1272,'Partly Furnished'
setapak,530000,4,2,Condominium,Built-up,1313,'Fully Furnished'
'jalan klang lama (old klang road)',380000,4,2,Condominium,Built-up,1098,'Partly Furnished'
kepong,600000,3,2,'Serviced Residence',Built-up,1162,Unfurnished
oug,4300000,7,7,'Semi-detached House','Land area',4500,'Fully Furnished'
brickfields,530000,3,2,Apartment,Built-up,880,'Fully Furnished'
'bukit jalil',620000,2,2,'Serviced Residence',Built-up,705,Unfurnished
'city centre',1200000,5,3,Condominium,Built-up,2000,'Fully Furnished'
'jalan klang lama (old klang road)',430000,3,2,Condominium,Built-up,1000,'Partly Furnished'
'jalan klang lama (old klang road)',380000,3,2,Condominium,Built-up,980,'Partly Furnished'
'jalan klang lama (old klang road)',560000,3,2,Condominium,Built-up,1350,'Partly Furnished'
kepong,490000,3,2,Apartment,Built-up,1001,'Partly Furnished'
dutamas,750000,1,1,'Serviced Residence',Built-up,672,'Fully Furnished'
'mont kiara',800000,2,2,'Serviced Residence',Built-up,913,'Fully Furnished'
'bukit jalil',950000,5,3,Condominium,Built-up,1513,'Partly Furnished'
'bukit jalil',499000,4,2,Condominium,Built-up,1080,'Partly Furnished'
'jalan klang lama (old klang road)',399000,1,2,'Serviced Residence',Built-up,775,'Partly Furnished'
'bukit jalil',700000,3,2,Condominium,Built-up,1407,'Fully Furnished'
'bukit jalil',1070000,3,1,Condominium,Built-up,1508,'Fully Furnished'
bangsar,1500000,3,3,Condominium,Built-up,1550,'Fully Furnished'
bangsar,1400000,3,2,Condominium,Built-up,1227,'Fully Furnished'
'bukit jalil',1630000,5,5,'Terrace/Link House','Land area',2250,'Partly Furnished'
'bukit jalil',3650000,9,7,Bungalow,'Land area',5400,'Partly Furnished'
bangsar,8500000,5,5,Condominium,Built-up,4945,'Partly Furnished'
sentul,1490000,5,4,'Terrace/Link House','Land area',2200,'Partly Furnished'
cheras,400000,3,2,Condominium,Built-up,974,'Partly Furnished'
dutamas,578000,3,3,Condominium,'Land area',1617,'Partly Furnished'
cheras,620000,2,2,Condominium,Built-up,962,'Partly Furnished'
'taman desa',595000,2,2,Condominium,Built-up,1100,'Fully Furnished'
'jalan klang lama (old klang road)',1300000,6,5,'Terrace/Link House','Land area',1400,'Partly Furnished'
oug,900000,3,3,'Terrace/Link House','Land area',1650,'Partly Furnished'
oug,850000,4,3,'Terrace/Link House','Land area',1650,Unfurnished
'jalan klang lama (old klang road)',1780000,6,6,'Terrace/Link House','Land area',1540,'Partly Furnished'
'jalan klang lama (old klang road)',760000,4,2,'Terrace/Link House','Land area',1540,'Partly Furnished'
oug,800000,4,3,'Terrace/Link House','Land area',1600,'Partly Furnished'
oug,900000,4,3,'Terrace/Link House','Land area',1650,'Partly Furnished'
kepong,1450000,6,4,'Terrace/Link House','Land area',1400,'Partly Furnished'
'bangsar south',1750000,4,3,Condominium,Built-up,2068,Unknown
'jalan klang lama (old klang road)',2480000,4,4,Condominium,Built-up,5148,'Fully Furnished'
'mont kiara',1150000,4,3,'Serviced Residence',Built-up,1700,'Fully Furnished'
'bukit tunku (kenny hills)',1300000,3,3,Condominium,Built-up,1780,'Partly Furnished'
'jalan ipoh',1650000,4,3,'Terrace/Link House','Land area',2325,'Fully Furnished'
'kl city',1900000,3,3,'Serviced Residence',Built-up,1157,'Partly Furnished'
'kl city',1000000,2,1,'Serviced Residence',Built-up,625,'Partly Furnished'
cheras,850000,5,3,'Terrace/Link House','Land area',1540,'Partly Furnished'
dutamas,1450000,5,4,Condominium,Built-up,2955,'Partly Furnished'
cheras,730000,4,4,'Terrace/Link House','Land area',1170,'Fully Furnished'
'bukit bintang',2960000,2,3,'Serviced Residence',Built-up,1509,'Fully Furnished'
'mont kiara',1950000,5,4,Condominium,Built-up,1830,'Partly Furnished'
'batu caves',778000,3,2,'Serviced Residence',Built-up,1227,'Partly Furnished'
'batu caves',610000,2,2,'Serviced Residence',Built-up,861,'Partly Furnished'
'batu caves',740000,3,2,'Serviced Residence',Built-up,1055,'Partly Furnished'
'jalan klang lama (old klang road)',330000,3,2,'Serviced Residence',Built-up,950,'Partly Furnished'
'jalan klang lama (old klang road)',345000,3,2,'Serviced Residence',Built-up,950,'Partly Furnished'
'kuchai lama',640000,3,2,Condominium,Built-up,1328,'Fully Furnished'
klcc,2800000,5,6,'Serviced Residence',Built-up,3200,'Partly Furnished'
'kuchai lama',430000,2,2,Condominium,Built-up,936,'Fully Furnished'
ampang,1256000,3,2,'Serviced Residence',Built-up,1560,'Fully Furnished'
'jalan klang lama (old klang road)',558000,3,2,Condominium,Built-up,1215,'Partly Furnished'
'jalan klang lama (old klang road)',675000,4,4,Condominium,Built-up,1440,'Partly Furnished'
oug,990000,4,3,'Terrace/Link House','Land area',1650,'Partly Furnished'
ampang,660000,4,3,'Terrace/Link House','Land area',1400,'Partly Furnished'
'wangsa maju',500000,4,3,Condominium,Built-up,1267,'Partly Furnished'
'damansara heights',9600000,8,9,Bungalow,'Land area',7525,Unknown
setapak,510000,3,2,'Terrace/Link House','Land area',1300,'Partly Furnished'
'taman desa',310000,3,2,Apartment,Built-up,830,'Fully Furnished'
'jalan kuching',950000,4,3,Condominium,Built-up,1800,'Partly Furnished'
'mont kiara',1550000,4,3,Condominium,Built-up,1870,'Fully Furnished'
'mont kiara',1250000,4,3,Condominium,Built-up,1560,'Partly Furnished'
'mont kiara',1550000,4,3,Condominium,Built-up,1872,'Fully Furnished'
bangsar,1550000,4,3,'Terrace/Link House','Land area',1920,Unknown
'jalan klang lama (old klang road)',430000,1,2,'Serviced Residence',Built-up,775,'Fully Furnished'
'taman tun dr ismail',6000000,5,4,Bungalow,'Land area',8000,'Partly Furnished'
dutamas,530000,3,2,Condominium,Built-up,1100,'Partly Furnished'
ampang,2300000,6,3,Condominium,Built-up,3778,'Partly Furnished'
'mont kiara',880000,3,2,Condominium,Built-up,1208,'Fully Furnished'
'jalan kuching',710000,3,2,Condominium,Built-up,1015,'Partly Furnished'
cheras,900000,5,3,'Terrace/Link House','Land area',3520,Unfurnished
'mont kiara',808000,2,2,'Serviced Residence',Built-up,864,'Fully Furnished'
setapak,580000,4,2,Condominium,Built-up,2150,Unknown
'taman desa',635000,3,2,Condominium,Built-up,1200,'Fully Furnished'
'kl city',1480000,2,2,'Serviced Residence','Land area',866,Unknown
sentul,599999,4,3,Condominium,Built-up,1235,Unfurnished
setapak,520000,3,2,'Serviced Residence',Built-up,1100,'Partly Furnished'
setapak,300000,3,2,Condominium,Built-up,947,Unknown
'taman tun dr ismail',1050000,3,3,'Serviced Residence',Built-up,1010,'Partly Furnished'
'jalan sultan ismail',700000,2,2,'Serviced Residence',Built-up,860,'Fully Furnished'
setapak,250000,3,2,Condominium,Built-up,845,'Partly Furnished'
klcc,3450000,3,3,'Serviced Residence',Built-up,1560,'Fully Furnished'
'jalan klang lama (old klang road)',388000,3,2,Condominium,Built-up,1010,'Partly Furnished'
klcc,1200000,3,2,'Serviced Residence',Built-up,820,'Fully Furnished'
'sri petaling',520000,4,2,Condominium,Built-up,1417,'Partly Furnished'
klcc,1200000,3,2,'Serviced Residence',Built-up,792,'Partly Furnished'
'jalan klang lama (old klang road)',1600000,5,4,Condominium,Built-up,2638,Unfurnished
'desa petaling',400000,3,2,Condominium,Built-up,956,'Fully Furnished'
'sri petaling',385000,3,2,Condominium,Built-up,935,'Partly Furnished'
'sri petaling',520000,4,2,Condominium,Built-up,1400,'Partly Furnished'
'jalan klang lama (old klang road)',430000,3,2,Condominium,Built-up,1000,'Partly Furnished'
'wangsa maju',450000,4,3,Condominium,Built-up,1267,'Partly Furnished'
'wangsa maju',420000,4,3,Condominium,Built-up,1267,'Partly Furnished'
'wangsa maju',700000,6,5,Condominium,Built-up,2562,Unknown
'kuchai lama',248000,3,1,Flat,Built-up,700,'Partly Furnished'
'kuchai lama',255000,3,2,Flat,Built-up,947,Unfurnished
'kuchai lama',250000,3,2,Flat,Built-up,947,'Partly Furnished'
'kuchai lama',255000,3,1,Flat,Built-up,800,'Partly Furnished'
'kuchai lama',260000,3,1,Flat,Built-up,705,'Partly Furnished'
'kuchai lama',248000,3,1,Flat,Built-up,750,'Partly Furnished'
'jalan klang lama (old klang road)',2100000,8,7,'Semi-detached House',Built-up,7000,'Fully Furnished'
'jalan kuching',650000,3,2,Condominium,Built-up,1400,'Partly Furnished'
klcc,2139000,3,2,'Serviced Residence',Built-up,1426,'Fully Furnished'
'jalan klang lama (old klang road)',390000,3,2,Apartment,Built-up,956,'Partly Furnished'
bangsar,7500000,6,7,Bungalow,'Land area',8000,'Partly Furnished'
bangsar,10200000,5,3,Bungalow,'Land area',4200,'Partly Furnished'
bangsar,6500000,6,6,Bungalow,'Land area',10150,'Partly Furnished'
klcc,5000000,4,4,Condominium,Built-up,2228,'Partly Furnished'
'ampang hilir',3780000,6,5,Condominium,Built-up,3628,'Partly Furnished'
bangsar,4650000,6,4,Bungalow,'Land area',6100,'Partly Furnished'
bangsar,10000000,6,6,Bungalow,'Land area',9200,'Partly Furnished'
bangsar,4500000,6,7,Bungalow,'Land area',6100,'Partly Furnished'
seputeh,5500000,6,6,Bungalow,'Land area',6000,'Partly Furnished'
'bukit bintang',4300000,4,5,'Serviced Residence',Built-up,2405,Unfurnished
'jalan sultan ismail',1450000,4,4,'Serviced Residence',Built-up,1870,'Fully Furnished'
klcc,1450000,2,2,Condominium,Built-up,1368,'Fully Furnished'
'jalan klang lama (old klang road)',468000,1,2,'Serviced Residence',Built-up,872,'Partly Furnished'
setapak,1180000,6,4,'Terrace/Link House',Built-up,3300,'Partly Furnished'
'taman tun dr ismail',1100000,3,3,'Serviced Residence',Built-up,1313,'Fully Furnished'
'jalan klang lama (old klang road)',598000,2,2,'Serviced Residence',Built-up,852,Unfurnished
'jalan klang lama (old klang road)',335000,3,2,Apartment,Built-up,950,'Partly Furnished'
'taman melawati',630000,4,3,'Terrace/Link House',Built-up,1260,'Partly Furnished'
'taman melawati',450000,2,2,'Terrace/Link House','Land area',840,'Partly Furnished'
klcc,4816500,4,5,'Serviced Residence',Built-up,2142,'Partly Furnished'
klcc,4752000,2,3,'Serviced Residence',Built-up,1938,'Partly Furnished'
klcc,2900000,1,2,'Serviced Residence',Built-up,1163,'Partly Furnished'
klcc,3880000,2,3,'Serviced Residence',Built-up,1636,'Partly Furnished'
klcc,4900000,2,2,'Serviced Residence',Built-up,1894,'Partly Furnished'
klcc,1750000,3,2,Condominium,Built-up,915,'Fully Furnished'
klcc,1298680,2,1,Condominium,Built-up,463,'Fully Furnished'
klcc,2050000,3,2,Condominium,Built-up,915,'Fully Furnished'
klcc,1788000,3,2,Condominium,Built-up,915,'Fully Furnished'
klcc,3498000,3,3,Condominium,Built-up,1830,'Fully Furnished'
ampang,559000,1,1,'Serviced Residence',Built-up,740,Unknown
cheras,2200000,6,6,'Semi-detached House','Land area',3230,Unfurnished
'bukit jalil',980000,5,3,Condominium,Built-up,1513,'Fully Furnished'
cheras,1250000,5,3,'Terrace/Link House','Land area',3300,Unknown
'jalan klang lama (old klang road)',670000,3,2,'Serviced Residence',Built-up,1055,'Partly Furnished'
'taman melawati',690000,3,3,'Terrace/Link House','Land area',910,'Fully Furnished'
'taman tun dr ismail',1250000,4,3,Condominium,Built-up,2000,'Partly Furnished'
'taman tun dr ismail',950000,3,2,Condominium,Built-up,1500,'Fully Furnished'
'bukit jalil',468000,4,2,Condominium,Built-up,1232,'Partly Furnished'
'kuchai lama',1523000,7,6,Condominium,Built-up,2798,'Partly Furnished'
'kuchai lama',968130,5,4,Condominium,Built-up,1862,'Partly Furnished'
'kuchai lama',813000,4,4,Condominium,Built-up,1477,'Partly Furnished'
dutamas,440000,3,2,Condominium,Built-up,850,'Fully Furnished'
bangsar,1150000,2,2,'Serviced Residence',Built-up,980,Unfurnished
bangsar,760000,1,1,'Serviced Residence',Built-up,441,'Fully Furnished'
bangsar,740000,1,1,'Serviced Residence',Built-up,441,'Fully Furnished'
'desa pandan',798000,2,2,'Serviced Residence',Built-up,1087,'Partly Furnished'
'sri petaling',638000,4,3,'Serviced Residence',Built-up,1279,'Fully Furnished'
'taman tun dr ismail',1750000,3,3,'Serviced Residence',Built-up,1442,'Partly Furnished'
'taman tun dr ismail',3000000,4,4,'Serviced Residence',Built-up,2426,Unknown
bangsar,683000,1,1,'Serviced Residence',Built-up,441,'Fully Furnished'
'batu caves',1068000,5,3,'Terrace/Link House','Land area',1560,Unknown
klcc,3500000,4,5,Condominium,Built-up,3079,'Partly Furnished'
'bangsar south',575000,1,1,'Serviced Residence',Built-up,638,'Fully Furnished'
'damansara heights',6000000,6,6,'Semi-detached House',Built-up,5555,'Partly Furnished'
'kl sentral',1700000,2,1,'Serviced Residence',Built-up,1259,'Partly Furnished'
'bukit jalil',395000,3,2,Apartment,Built-up,1100,'Partly Furnished'
'taman melawati',680000,3,2,'Terrace/Link House','Land area',1400,'Partly Furnished'
'bukit jalil',698000,4,3,Condominium,Built-up,1276,'Fully Furnished'
'mont kiara',1250000,2,1,'Serviced Residence',Built-up,1400,'Partly Furnished'
'sri petaling',1880000,5,5,'Semi-detached House','Land area',3200,'Partly Furnished'
'bukit tunku (kenny hills)',1280000,4,4,Apartment,Built-up,2088,'Partly Furnished'
'bukit jalil',580000,3,2,Condominium,Built-up,1073,'Partly Furnished'
oug,3900000,7,9,Bungalow,'Land area',13900,'Partly Furnished'
cheras,850000,6,2,'Terrace/Link House','Land area',3200,Unfurnished
'city centre',1180000,3,3,Condominium,'Land area',1806,'Fully Furnished'
'jalan klang lama (old klang road)',388000,1,2,'Serviced Residence',Built-up,775,'Partly Furnished'
'wangsa maju',1360000,6,4,'Terrace/Link House','Land area',1500,'Partly Furnished'
'sri petaling',1000000,4,4,'Terrace/Link House','Land area',1650,Unfurnished
'taman melawati',4550000,7,6,Bungalow,'Land area',6550,'Partly Furnished'
'bangsar south',1190000,3,2,Condominium,Built-up,1485,Unknown
klcc,2800000,5,4,Condominium,Built-up,3218,'Partly Furnished'
'bukit jalil',450000,3,2,Apartment,'Land area',1100,'Fully Furnished'
'taman tun dr ismail',920000,1,1,'Serviced Residence',Built-up,710,'Partly Furnished'
segambut,638000,3,3,Condominium,Built-up,1155,'Partly Furnished'
'bukit jalil',2800000,4,5,Condominium,Built-up,2950,'Fully Furnished'
'jalan klang lama (old klang road)',420000,3,2,'Serviced Residence',Built-up,852,'Partly Furnished'
segambut,730000,4,3,Condominium,Built-up,1643,'Fully Furnished'
'bukit jalil',988000,3,2,'Serviced Residence',Built-up,1216,Unknown
'jalan ipoh',1250000,4,3,'Terrace/Link House','Land area',2000,'Partly Furnished'
segambut,225000,3,2,Flat,Built-up,930,Unfurnished
'sungai besi',520000,3,2,Condominium,Built-up,1074,Unfurnished
segambut,315000,2,1,Apartment,Built-up,750,'Partly Furnished'
bangsar,1080000,4,3,Condominium,Built-up,1725,'Partly Furnished'
'sri petaling',650000,3,2,'Terrace/Link House','Land area',1600,'Partly Furnished'
'mont kiara',931500,4,3,Condominium,Built-up,1991,'Partly Furnished'
'mont kiara',2900000,5,5,Condominium,Built-up,3541,'Partly Furnished'
'sri hartamas',3200000,5,6,Condominium,Built-up,3983,'Partly Furnished'
'mont kiara',2300000,4,4,Condominium,Built-up,2707,'Partly Furnished'
'mont kiara',2600000,5,5,Condominium,Built-up,3317,'Partly Furnished'
'mont kiara',1200000,2,2,Condominium,Built-up,1240,'Fully Furnished'
'sri hartamas',3150000,5,5,Condominium,Built-up,3466,'Fully Furnished'
'sri hartamas',3200000,5,5,Condominium,Built-up,3983,'Partly Furnished'
'mont kiara',1220000,4,3,Condominium,Built-up,1641,'Fully Furnished'
'mont kiara',1200000,2,2,'Serviced Residence',Built-up,927,'Fully Furnished'
'mont kiara',1300000,3,2,'Serviced Residence',Built-up,1172,'Fully Furnished'
'mont kiara',850000,2,2,'Serviced Residence',Built-up,861,'Fully Furnished'
'mont kiara',750000,3,2,'Serviced Residence',Built-up,1078,'Fully Furnished'
'mont kiara',2934400,5,5,Condominium,Built-up,3668,'Partly Furnished'
dutamas,4500000,5,4,'Semi-detached House','Land area',2400,'Partly Furnished'
'mont kiara',1500000,4,3,Condominium,Built-up,1872,'Fully Furnished'
'mont kiara',2250000,5,5,Condominium,Built-up,2906,'Fully Furnished'
'mont kiara',2750000,5,5,Condominium,Built-up,3317,'Partly Furnished'
'mont kiara',2980000,6,6,Condominium,Built-up,3729,'Partly Furnished'
'mont kiara',2800000,5,5,Condominium,Built-up,3169,'Partly Furnished'
'mont kiara',890000,3,3,'Serviced Residence',Built-up,1368,'Fully Furnished'
'mont kiara',1300000,4,3,Condominium,Built-up,1596,'Fully Furnished'
'kl city',1100000,4,3,Condominium,Built-up,1492,'Fully Furnished'
'mont kiara',4500000,5,4,'Semi-detached House',Built-up,3820,'Partly Furnished'
'mont kiara',9000000,6,5,'Semi-detached House','Land area',7500,'Partly Furnished'
'mont kiara',2960000,7,6,Condominium,Built-up,4550,'Partly Furnished'
'mont kiara',1015000,4,3,Condominium,Built-up,1973,'Partly Furnished'
'mont kiara',4200000,6,6,Condominium,Built-up,6684,'Partly Furnished'
'mont kiara',8550000,7,6,Condominium,Built-up,8902,'Partly Furnished'
'mont kiara',6200000,7,7,Condominium,Built-up,7911,'Partly Furnished'
'mont kiara',1900000,4,4,Condominium,Built-up,2347,'Partly Furnished'
'mont kiara',3150000,5,5,Condominium,Built-up,3704,'Partly Furnished'
'mont kiara',3100000,5,5,Condominium,Built-up,3478,'Fully Furnished'
'mont kiara',1690000,4,4,Condominium,Built-up,2020,Unfurnished
'bukit tunku (kenny hills)',1300000,3,2,Condominium,Built-up,1800,'Fully Furnished'
bangsar,1000000,2,1,Condominium,Built-up,1100,'Fully Furnished'
'bukit tunku (kenny hills)',1200000,3,3,Condominium,Built-up,1800,'Partly Furnished'
'mont kiara',750000,2,2,'Serviced Residence',Built-up,913,'Fully Furnished'
'mont kiara',800000,2,2,'Serviced Residence',Built-up,913,'Fully Furnished'
klcc,870000,2,2,'Serviced Residence',Built-up,866,'Fully Furnished'
klcc,750000,2,1,'Serviced Residence',Built-up,750,'Fully Furnished'
klcc,550000,1,1,'Serviced Residence',Built-up,492,'Fully Furnished'
'bukit bintang',4100000,6,6,Condominium,Built-up,3879,Unfurnished
'mont kiara',1550000,4,3,Condominium,Built-up,1878,'Fully Furnished'
'sri hartamas',1250000,2,2,Townhouse,Built-up,1500,'Fully Furnished'
'mont kiara',1460000,2,1,Condominium,Built-up,1514,'Partly Furnished'
'mont kiara',1600000,4,3,Condominium,Built-up,1661,'Fully Furnished'
'mont kiara',880000,3,2,Condominium,Built-up,1388,'Partly Furnished'
'mont kiara',2600000,5,5,Condominium,Built-up,3729,'Partly Furnished'
'mont kiara',2200000,4,4,Condominium,Built-up,2691,'Partly Furnished'
'sri hartamas',3980000,6,6,'Terrace/Link House',Built-up,5540,'Partly Furnished'
'mont kiara',1600000,4,5,Condominium,Built-up,3200,'Partly Furnished'
klcc,1700000,2,2,'Serviced Residence',Built-up,1227,'Fully Furnished'
'bukit bintang',3000000,2,2,'Serviced Residence',Built-up,1307,'Fully Furnished'
'bukit bintang',3000000,5,4,Condominium,Built-up,3068,'Fully Furnished'
'bukit bintang',1388000,3,3,Condominium,Built-up,1468,'Fully Furnished'
'mont kiara',888000,3,2,Condominium,Built-up,1208,'Partly Furnished'
'sri hartamas',530000,1,1,'Serviced Residence',Built-up,595,'Fully Furnished'
'ampang hilir',2550000,4,3,Condominium,Built-up,1884,'Partly Furnished'
'ampang hilir',2972000,5,3,Condominium,Built-up,2702,'Partly Furnished'
'mont kiara',1300000,4,3,Condominium,Built-up,1973,'Fully Furnished'
'mont kiara',9000000,6,6,Bungalow,'Land area',8740,'Partly Furnished'
'mont kiara',3200000,5,5,'Terrace/Link House','Land area',2863,'Partly Furnished'
'mont kiara',2350000,4,4,Condominium,Built-up,2700,'Fully Furnished'
'mont kiara',2150000,4,4,Condominium,Built-up,2535,'Fully Furnished'
'mont kiara',3500000,5,5,Condominium,Built-up,3720,'Fully Furnished'
'ampang hilir',3800000,5,4,Condominium,Built-up,2780,'Fully Furnished'
dutamas,1100000,2,2,'Serviced Residence',Built-up,1145,'Fully Furnished'
'mont kiara',650000,3,2,Condominium,Built-up,1230,'Partly Furnished'
'sri hartamas',3900000,5,5,'Terrace/Link House',Built-up,5230,'Fully Furnished'
'mont kiara',3600000,5,5,Condominium,Built-up,4090,'Partly Furnished'
'mont kiara',2950000,5,5,Condominium,Built-up,3668,'Partly Furnished'
'mont kiara',2200000,4,4,Condominium,Built-up,2707,'Partly Furnished'
'mont kiara',4500000,6,6,Condominium,Built-up,4537,'Fully Furnished'
'mont kiara',1900000,4,4,Condominium,Built-up,2411,'Partly Furnished'
'bukit bintang',980000,2,2,'Serviced Residence',Built-up,840,'Fully Furnished'
'mont kiara',1530000,4,3,Condominium,Built-up,1883,'Fully Furnished'
'desa parkcity',2480000,5,5,'Terrace/Link House','Land area',3400,'Partly Furnished'
'desa parkcity',1880000,4,3,'Terrace/Link House','Land area',1500,'Fully Furnished'
kepong,960000,4,3,'Terrace/Link House','Land area',1540,'Partly Furnished'
setapak,468000,3,2,Condominium,'Land area',1102,'Partly Furnished'
'desa parkcity',3300000,6,5,'Terrace/Link House',Built-up,5500,'Partly Furnished'
'desa parkcity',2600000,4,4,'Terrace/Link House',Built-up,3082,'Partly Furnished'
'desa parkcity',3190000,6,6,'Terrace/Link House','Land area',1472,'Partly Furnished'
kepong,498000,3,2,'Terrace/Link House','Land area',1430,'Partly Furnished'
segambut,998000,4,4,'Terrace/Link House','Land area',1600,'Partly Furnished'
'sri petaling',580000,3,3,'Terrace/Link House','Land area',880,'Partly Furnished'
cheras,730000,4,3,Condominium,Built-up,1700,Unfurnished
cheras,738000,4,3,Condominium,Built-up,1450,Unfurnished
cheras,750000,4,3,'Terrace/Link House','Land area',1650,'Partly Furnished'
'bukit jalil',355000,3,2,Apartment,Built-up,878,'Partly Furnished'
'jalan klang lama (old klang road)',630000,3,2,'Terrace/Link House','Land area',1400,Unfurnished
seputeh,1200000,4,3,Condominium,Built-up,1798,'Partly Furnished'
seputeh,700000,2,2,Condominium,Built-up,1011,'Partly Furnished'
seputeh,720000,2,2,Condominium,Built-up,1044,'Partly Furnished'
'kl sentral',1590000,3,2,Condominium,Built-up,1750,'Partly Furnished'
'jalan klang lama (old klang road)',1200000,4,4,Condominium,Built-up,6156,'Partly Furnished'
'kl city',3300000,5,4,Bungalow,'Land area',10500,Unfurnished
bangsar,1350000,3,2,Condominium,Built-up,1400,'Partly Furnished'
bangsar,1700000,4,3,'Terrace/Link House','Land area',1760,Unfurnished
brickfields,645000,3,2,Condominium,Built-up,1100,Unknown
bangsar,3750000,6,5,Condominium,Built-up,4700,'Fully Furnished'
bangsar,2000000,5,4,'Terrace/Link House','Land area',1920,'Fully Furnished'
bangsar,4000000,6,4,Bungalow,'Land area',5700,Unknown
setapak,340000,3,2,Apartment,Built-up,835,Unknown
'kuchai lama',680000,3,2,Condominium,Built-up,1451,Unfurnished
bangsar,3500000,6,4,Bungalow,'Land area',5730,'Partly Furnished'
'sungai besi',520000,3,2,Condominium,Built-up,1180,'Partly Furnished'
'bukit jalil',635000,2,2,'Serviced Residence',Built-up,791,Unfurnished
'sungai besi',648000,3,2,'Serviced Residence',Built-up,1025,'Partly Furnished'
'taman melawati',3500000,6,7,'Semi-detached House','Land area',3627,'Partly Furnished'
'jalan klang lama (old klang road)',568000,3,2,Condominium,Built-up,1339,'Partly Furnished'
'bukit tunku (kenny hills)',8000000,7,8,Condominium,Built-up,11000,'Fully Furnished'
'bandar menjalara',590000,3,2,'Terrace/Link House','Land area',880,'Partly Furnished'
klcc,1650000,4,5,Condominium,Built-up,1905,'Fully Furnished'
'mont kiara',3600000,5,6,'Terrace/Link House','Land area',2100,'Partly Furnished'
setiawangsa,3200000,5,4,'Terrace/Link House','Land area',3627,'Partly Furnished'
setiawangsa,8500000,8,11,Bungalow,'Land area',9000,'Fully Furnished'
setiawangsa,899000,4,3,'Terrace/Link House','Land area',1400,'Partly Furnished'
bangsar,875000,3,2,Condominium,Built-up,1300,'Partly Furnished'
'wangsa maju',199000,2,1,Flat,Built-up,527,'Partly Furnished'
'jalan kuching',779000,4,2,Condominium,Built-up,1470,'Partly Furnished'
